title,seasons_count,episodes_count,ratings,vote_count,popularity,original_language,overview,genres,production_details,air_years,cast,keywords,imdb_id,networks,country_of_origin
Bloodhounds,1,8,8.1,18000,145.8,Korean,Two young boxers band together with a benevolent moneylender to take down a ruthless loan shark who preys on the financially desperate.,"Action & Adventure, Drama, Crime","Studio N, See At Film",2023-2023,"Lee Sang-yi: Hong Woo-jin, Woo Do-Hwan: Kim Geon-woo, Huh Joon-ho: President Choi Tae-ho, Park Sung-woong: Kim Myung-gil, Harrison Xu: Seong-Tae, Eugene Nomura: Kim Myung-gil, Eugene Ko: Chang-Deok, Brandon Win: Kim Geon-woo, Kim Sae-ron: Kim Hyeon-joo, Tae Won-Seok: Kang In-beom","youth, rich, money, pay, prey, confront, powerful, order, business",tt26315487,Netflix,South Korea
Slasher,5,40,6.7,18000,120.6,English,"Thirty years ago, in the sleepy community of Waterbury, a killer known as “The Executioner” murdered Sarah Bennett's parents. Now Sarah and her husband Dylan have returned to town, only to find herself the centerpiece in a series of horrifying murders centered around the seven deadly sins.","Mystery, Crime, Drama","Chiller Films, Hideaway Pictures",2016-2023,"Christopher Jacot: Seamus …, Paula Brancati: Viviana Botticelli …, Joanne Vannicola: Amber Ciotti …, Sabrina Grdevich: Florence …, Jefferson Brown: Trent McBride …, Lisa Berry: Detective Roberta Hanson …, Steve Byers: Andrew May Jr. …, Gabriel Darku: Detective Kenneth Rijkers …, Dean McDermott: Dan Olenski …, Salvatore Antonio: Angel Lopez …","town, murder, series, bury, psychological, find question, hour, make, small town, bury secret, find, victim, episode, young woman, reveal, small, suspect, husband, henry, family friend, parent, question, star, return, police, include, secret, base, woman, know, friend, young, family",tt4667888,"Netflix, Chiller, Shudder",Canada
A Million Little Things,5,87,7.9,18000,142.2,English,A group of friends from Boston who feel stuck in life experience an unexpected wake-up call after one of their friends dies unexpectedly.,Drama,"Kapital Entertainment, ABC Studios; storylines for the third season.[35] on may 14, 2021, abc renewed the series",2018-2023,"David Giuntoli: Eddie Saville, Romany Malco: Rome Howard, Allison Miller: Maggie Bloom, Christina Moses: Regina Howard, Grace Park: Katherine Saville, James Roday Rodriguez: Gary Mendez, Tristan Byon: Theo Saville, Lizzy Greene: Sophie Dixon, Chance Hurstfield: Danny Dixon, Stephanie Szostak: Delilah Dixon","friend, unexpected, motivated, close friend, close, group, death, live, life",tt7608248,ABC,United States
Magnum P.I.,5,96,6.3,18000,113.4,English,"Thomas Magnum, a decorated former Navy SEAL who, upon returning home from Afghanistan, repurposes his military skills to become a private investigator in Hawaii taking jobs no one else will with the help of fellow vets T.C. Calvin and Rick Wright, and the former MI:6 agent Higgins.",Action & Adventure,"Universal Television, CBS Studios",2018-2023,"Jay Hernandez: Thomas Magnum, Perdita Weeks: Juliet Higgins, Zachary Knighton: Rick …, Stephen Hill: TC …, Amy Hill: Kumu …, Tim Kang: Detective Gordon Katsumoto …, Christopher Thornton: Shammy, Kimee Balmilero: Dr. Noelani Cunha, Betsy Phillips: Suzy Madison, Bobby Lee: Jin Jeong","seal, investigator, involve, mi6, close friend, multi, author, aid, afghanistan, major, close, case, military, skill, grantss, agent, return, crime, run, use, live, friend",tt7942796,"NBC, CBS",United States
Fleishman Is in Trouble,1,8,7.7,18000,138.6,English,"Recently separated forty-something Toby Fleishman dives into the brave new world of app-based dating with the kind of success he never had dating in his youth. But just at the start of his first summer of sexual freedom, his ex-wife disappears, leaving him with the kids and no hint of where she is or whether she plans to return.",Drama,"ABC Signature, FX Productions",2022-2022,"Jesse Eisenberg: Toby Fleishman, Claire Danes: Rachel Fleishman, Lizzy Caplan: Libby Epstein, Adam Brody: Seth Morris, Meara Mahoney Gross: Hannah Fleishman, Maxim Swinton: Solly Fleishman, Josh Stamberg: Sam Rothberg, Jenny Powers: Miriam Rothberg, Joy Suprano: Cyndi Leffer, Ralph Adriel Johnson: Phillip","separate, kid, happen, wife, friend, time, surgeon, long time, examine, date, app, expect, hollywood, manhattan, marriage, moment, balance, able, realize, reporter, success, offer, occasional, trouble, enter, disappear, plan, figure, return, single, long, leave, base, know, woman, year, follow, world, find, parent",tt11527058,Hulu,United States
Classroom of the Elite,2,25,7.7,18000,138.6,Japanese,"Koudo Ikusei Senior High School is a leading prestigious school with state-of-the-art facilities where nearly 100% of students go on to university or find employment. The students there have the freedom to wear any hairstyle and bring any personal effects they desire. Koudo Ikusei is a paradise-like school, but the truth is that only the most superior of students receive favorable treatment.

Ayanokouji Kiyotaka is a student of D-class, which is where the school dumps its ""inferior"" students in order to ridicule them. For a certain reason, Kiyotaka was careless on his entrance examination, and was put in D-class. After meeting Horikita Suzune and Kushida Kikyou, two other students in his class, Kiyotaka’s situation begins to change.","Drama, Animation","Lerche, KADOKAWA, Lantis",2017-2022,"Justin Briner: Kiyotaka Ayanokoji …, Felecia Angelle: Suzune Horikita, Brandon McInnis: Ken Sudo …, Aaron Dismuke: Kanji Ike …, Bryn Apprill: Kei Karuizawa …, Sarah Wiedenheft: Kikyo Kushida, Dallas Reid: Yosuke Hirata, Shoya Chiba: Kiyotaka Ayanokoji …, Akari Kitô: Suzune Horikita, Nao Tôyama: Ichinose Honami …","student, school, class, high school, high, wear, university, prestigious, state art, superior, government, reason, freedom, examination, receive, find, senior, state, art, effect, elite, enter, bring, desire, system, situation, truth, personal, order, change, begin, base, meet, lead",tt7263328,"AT-X, TV Aichi, Tokyo MX",Japan
The Ellen DeGeneres Show,19,2012,6.5,18000,117.0,English,"The Ellen DeGeneres Show, often shortened to just Ellen, is an American television talk show hosted by comedian/actress Ellen DeGeneres.","Comedy, Talk","A Very Good Production, Telepictures, Warner Bros. Television; sequel to finding nemo",2003-2022,"Ellen DeGeneres: Self - Host …, Stephen Boss: Self - DJ …, Andy Lassner: Self …, Kym Douglas: Self …, Wanda Sykes: Self - Guest …, Howie Mandel: Self - Guest …, Mario Lopez: Self - Guest …, Justin Bieber: Self …, Anthony Okungbowa: Self - DJ …, Kristen Bell: Self - Guest …","talent, segment, real people, interview musical, celebrity interview, musical, audience, mix, interview, game, extraordinary, celebrity, real, people",tt0379623,Syndication,United States
Twenty Five Twenty One,1,16,8.6,18000,154.8,Korean,"In a time when dreams seem out of reach, a teen fencer pursues big ambitions and meets a hardworking young man who seeks to rebuild his life.",Drama,"Hwa&Dam Pictures, Studio Dragon",2022-2022,"Kim Tae-ri: Na Hee-do, Nam Joo-hyuk: Baek Yi-jin, Kim Ji-yeon: Ko Yu-rim, Choi Hyun-wook: Moon Ji-woong, Lee Joo-myung: Ji Seung-wan, Seo Jae-hee: Shin Jae-kyung, Choi Myung-bin: Kim Min-chae, Victoria Grace: Ko Yu-Rim, Anzu Lawson: Hee-Doh (41), Esther K. Chae: Shin Jae-Kyung","team, south, financial, korean, person, time, fall love, high school, dream, member, fall, school, meet, high, life, year, love, wealthy, pursue, youth, people meet, life change, poor, young man, sport, reporter, ambition, big, network, seek, rebuild, cause, teen, year old, tell, business, get, father, change, name, job, old, turn, live, take, lead, work, set, people, man",tt17513352,"Netflix, tvN",South Korea
The North Water,1,5,7.6,18000,136.8,English,"Henry Drax is a harpooner and brutish killer whose amorality has been shaped to fit the harshness of his world, who will set sail on a whaling expedition to the Arctic with Patrick Sumner, a disgraced ex-army surgeon who signs up as the ship’s doctor. Hoping to escape the horrors of his past, Sumner finds himself on an ill-fated journey with a murderous psychopath. In search of redemption, his story becomes a harsh struggle for survival in the Arctic wasteland.","Drama, Mystery","See-Saw Films, Rhombus Media, BBC",2021-2021,"Jack O'Connell: Patrick Sumner, Colin Farrell: Henry Drax, Sam Spruell: Cavendish, Roland Møller: Otto, Gary Lamont: Webster, Philip Hill-Pearson: McKendrick, Gerry Lynch: Cook, Stephen Graham: Captain Brownlee, Kieran Urquhart: Jones, Simon Rubaudo: Bannon","surgeon, survival, redemption, doctor, north, murderous, ill, shape, board, fight survival, search, escape, army, horror, embark, hope, past, military, quest, henry, killer, journey, tell, struggle, fight, meet, world, find",tt7660970,AMC+,"United Kingdom, Canada"
Dr. Death,2,16,7.6,18000,136.8,English,An anthology series following a new medical true crime story each season. Based on the podcast of the same name.,"Drama, Crime","UCP, Escape Artists, Littleton Road Productions, Wondery",2021-2021,"Joshua Jackson: Dr. Christopher Duntsch, Edgar Ramírez: Dr. Paolo Macchiarini, Mandy Moore: Benita Alexander, Ashley Madekwe: Dr. Ana Lasbrey, Christian Slater: Dr. Randall Kirby, Gustaf Hammarsten: Dr. Anders Svensson, Alec Baldwin: Dr. Robert Henderson, Luke Kirby: Dr. Nathan Gamelli, Dominic Burgess: Jerry Summers, Judy Reyes: Kim Verdi","ambitious, anthology series, anthology, doctor, true, lead, series",tt9179552,Peacock,United States
Halston,1,5,7.5,18000,135.0,English,American fashion designer Halston skyrockets to fame before his life starts to spin out of control.,Drama,"Killer Films, Legendary Television, Ryan Murphy Productions",2021-2021,"Ewan McGregor: Halston, Rebecca Dayan: Elsa Peretti, David Pittu: Joe Eula, Krysta Rodriguez: Liza Minnelli, Gian Franco Rodriguez: Victor Hugo, Sietzka Rose: Karen Bjornson, Megan Danielle Gerald: Bethann Hardison, Molly Jobe: Sassy Johnson, Maxim Swinton: Young Halston, Deya Danielle Drake: Hallie Mae","status, sex, fashion, luxury, fame, empire, define, era, single, man",tt9569546,Netflix,United States
The Irregulars,1,8,6.1,18000,109.8,English,"In Victorian London, a gang of troubled street teens are manipulated into solving crimes for the sinister Doctor Watson and his mysterious business partner, the elusive Sherlock Holmes. As the crimes take on a horrifying supernatural edge and a dark power emerges, it'll be up to the Irregulars to come together to save not only London but the entire world.","Drama, Mystery, Sci-Fi & Fantasy",Drama Republic,2021-2021,"McKell David: Spike, Thaddea Graham: Bea, Jojo Macari: Billy, Harrison Osterfield: Leopold, Darci Shaw: Jessie, Clarke Peters: The Linen Man, Royce Pierreson: John Watson, Henry Lloyd-Hughes: Sherlock, Edward Hogg: Daimler, Alex Ferns: Vic Collins","troubled, street, sinister, solve crime, manipulate, partner, series follow, solve, teen, london, doctor, gang, business, crime, mysterious, set, follow, series",tt10893694,Netflix,United Kingdom
Bonding,2,15,7.1,18000,127.8,English,A New York City grad student moonlighting as a dominatrix enlists her gay BFF from high school to be her assistant.,"Drama, Comedy",Anonymous Content,2019-2021,"Zoe Levin: Tiff Chester, Brendan Scannell: Pete Devin, Micah Stock: Doug, Theo Stockman: Josh, Matthew Wilkas: Rolph, Alex Hurt: Frank, Gabrielle Ryan: Portia, Nana Mensah: Mistress Mira, Kristin Villanueva: Sweet Charlotte, Kevin Kane: Professor Charles","york, student, new york, city, enlist, gay, high school, school, high, new",tt7718088,Netflix,United States
Call My Agent!,4,24,8.3,18000,149.4,French,"At a top Paris talent firm, agents scramble to keep their star clients happy—and their business afloat—after an unexpected crisis.","Comedy, Drama","France Télévisions, Mon Voisin Productions, Mother Production",2015-2020,"Camille Cottin: Andréa Martel, Thibault de Montalembert: Mathias Barneville, Grégory Montel: Gabriel Sarda, Liliane Rovère: Arlette Azémar, Fanny Sidney: Camille Valentini, Nicolas Maury: Hervé André-Jezak …, Stéfi Celma: Sofia Leprince, Laure Calamy: Noémie Leclerc, Ophélia Kolb: Colette Brancillon, Assaad Bouab: Hicham Janowski","agency, french, agent, star, france, talent, drama, need, play, life, work, olympic, tongue, plunge, version, hour, demand, entertainment, carry, believe, intense, humor, juggle, pass, serial, partner, season, create, history, personal, save, celebrity, comedy, com, event, figure, leader, struggle, group, television, job, long, fall, death, meet, time, people, world",tt4277922,France 2,France
Absentia,3,30,7.2,18000,129.6,English,A missing FBI agent reappears six years after being declared dead.,"Crime, Drama, Mystery","Masha Productions, Media Brat Productions, Bizu Productions",2017-2020,"Stana Katic: Emily Byrne, Patrick Heusinger: Nick Durand, Neil Jackson: Jack Byrne, Paul Freeman: Warren Byrne, Christopher Colquhoun: Agent Crown, Patrick McAuley: Flynn Durand, Cara Theobold: Alice Durand, Matthew Le Nevez: Cal Isaac, Natasha Little: Special Agent Julianne Gunnarsen, Angel Bonanni: Tommy Gibbs …","fbi, answer, agent, find, family, serial, year, killer, challenge, suspect, new, dead, happen, murder, try, time, hunt, alive year, reconnect, complete, search answer, shadow, threaten, safety, string, raise son, emotional, distance, disappear hear, suffer, alive, disappearance, hear, victim, search, success, navigate new, new life, quest, task, track, hold, destroy, raise, network, disappear, rebuild, navigate, life, identity",tt6794990,AXN,"Israel, United States"
